dataset,n,eliminated,trivial,nontrivial,ek_consistent,dinic_consistent,reference_matched
teams1.txt,1,0,0,0,True,True,
teams4.txt,4,2,1,1,True,True,
teams4a.txt,4,2,1,1,True,True,
teams4b.txt,4,3,3,0,True,True,
teams5.txt,5,1,0,1,True,True,
teams5a.txt,5,1,0,1,True,True,
teams5b.txt,5,1,1,0,True,True,
teams5c.txt,5,2,1,1,True,True,
teams7.txt,7,2,1,1,True,True,
teams8.txt,8,2,0,2,True,True,
teams10.txt,10,1,1,0,True,True,
teams12-allgames.txt,12,10,10,0,True,True,
teams12.txt,12,4,2,2,True,True,
teams24.txt,24,10,9,1,True,True,
teams29.txt,29,17,3,14,True,True,
teams30.txt,30,5,3,2,True,True,
teams32.txt,32,9,7,2,True,True,
teams36.txt,36,2,1,1,True,True,
teams42.txt,42,8,5,3,True,True,
teams48.txt,48,6,3,3,True,True,
teams50.txt,50,0,0,0,True,True,
teams54.txt,54,8,4,4,True,True,
teams60.txt,60,18,13,5,True,True,
